/* 64- and 128- Bit Instructions */
/*  Instruction;Operands;Operation;Decode Unit;Execution Unit;Base Latency; */
/*              +Memory Latency;Throughput;Category  */
/*  By default, if an instruction has no character to its left, this means */
/*  that there is always a 2-cycle difference between that instruction have */
/*  only xmmister operands and that instruction having a memory operand. */
/*  Any instruction that has a memory operand as its second operand is a */
/*  LOAD. Instructions with an * in front of them means that the operands */
/*  must be inspected before you can tell which        */
/*  execution it will use and, therefore, its latency. */

*MOVAPD  xmm,xmm         MOV     single  FADD/FMUL/FSTORE 2  0   3/1  FADD-2
*MOVAPD  xmm,mem         MOV     single  FSTORE           2  0   2/1  FLOAD-2
*MOVAPD  mem,xmm         MOV     double  FSTORE           2  0   1/1  FSTORE-2
*MOVAPS  xmm,xmm         MOV     single  FADD/FMUL/FSTORE 2  0   3/1  FADD-2
*MOVAPS  xmm,mem         MOV     single  FSTORE           2  0   2/1  FLOAD-2
*MOVAPS  mem,xmm         MOV     double  FSTORE           2  0   1/1  FSTORE-2
*MOVDDUP xmm,xmm         MOV     single  FADD/FMUL/FSTORE 2  0   3/1  FADD-2
*MOVDDUP xmm,mem         MOV     single  FSTORE           2  0   2/1  FLOAD-2
MOVDQ2Q  mm,xmm          MOV     single  FADD/FMUL/FSTORE 2  0   3/1  FADD-2
*MOVDQA  xmm,xmm         MOV     single  FADD/FMUL/FSTORE 2  0   3/1  FADD-2
*MOVDQA  xmm,mem         MOV     single  FSTORE           2  0   2/1  FLOAD-2
*MOVDQU  xmm,xmm         MOV     single  FADD/FMUL/FSTORE 2  0   3/1  FADD-2
*MOVDQU  mem,xmm         MOV     vector  FSTORE           3  0   1/2  FSTORE-3
*MOVDQU  xmm,mem         MOV     single  FSTORE           2  0   2/1  FLOAD-2

*MOVD    reg,xmm/mm      MOV     single  FADD/INT         3  0   1/1  FADD-3
*MOVD    xmm,mem         MOV     single  FSTORE           2  0   2/1  FLOAD-2
*MOVD    mem,xmm/mm      MOV     single  FSTORE           2  0   1/1  FSTORE-2
/* No throughput was given for these instructions in the 40546.pdf manual, pg 260 */
*MOVD    mm,mem          MOV     single  FADD/FMUL/FSTORE 4  0   3/1  FLOAD-4
/* No throughput was given in the 40546.pdf manual, p260, for this instruction */
/* JEC: how to read this in and occupy both int and fp queues??? */
*MOVD    xmm/mm,reg      MOV     double  ALU              6  0   1/1  ALU-6
  
*MOVQ    xmm,xmm         MOV     single  FADD/FMUL/FSTORE 2   0   3/1   FADD-2
*MOVQ    mm,mm           MOV     single  FADD/FMUL        2   0   2/1   FADD-2
/* JEC: insn below had (1/1)/X in throughput for a while; there may be a question */
*MOVQ    mem,xmm/mm      MOV     single  FSTORE           2   0   1/1   FSTORE-2
*MOVQ    xmm,mem         MOV     single  FSTORE           2   0   2/1   FLOAD-2
*MOVQ    mm,mem          MOV     single  FADD/FMUL/FSTORE 4   0   3/1   FLOAD-4

MOVQ2DQ  xmm,mm          MOV     single  FADD/FMUL/FSTORE 2   0   3/1   FADD-2

*MOVUPS  xmm,xmm         MOV     single  FADD/FMUL/FSTORE 2   0   3/1   FADD-2
*MOVUPS  mem,xmm         MOV     vector  FSTORE           3   0   1/2   FSTORE-3
